Country,Year,City,Gold,Silver,Bronze,Weighted Count, Population ,"Total medals per 100,000 pop","Weighted count per 100,000 pop","Gold per 100,000 pop",GDP per capita,GDP
Turkey,1960,Rome,7,2,0,25,28160579,0.0319596,0.0887766,0.0248574,2666.17,75080752926
United States,1960,Rome,34,21,16,160,186326215,0.0381052,0.0858709,0.0182476,18175.43,3386558346291
Norway,1960,Rome,1,0,0,3,3580998,0.0279252,0.0837755,0.0279252,11481.31,41114563214
Austria,1960,Rome,1,1,0,5,7042634,0.0283985,0.0709962,0.0141992,10083.83,71016724373
Belgium,1960,Rome,0,2,2,6,9152271,0.043705,0.0655575,0.0,10076.6,92223796761
Britain,1960,Rome,2,6,12,30,52544356,0.0380631,0.0570946,0.0038063,12167.33,639324675086
Greece,1960,Rome,1,0,0,3,8333499,0.0119998,0.0359993,0.0119998,5067.26,42228021709
Japan,1960,Rome,4,7,7,33,92500572,0.0194593,0.0356755,0.0043243,5488.81,507717645502
Netherlands,1960,Rome,0,1,2,4,11418460,0.0262732,0.035031,0.0,10620.98,121275181905
Ghana,1960,Rome,0,1,0,2,6742107,0.0148322,0.0296643,0.0,1158.85,7813079964
South Africa,1960,Rome,0,1,2,4,17396477,0.0172449,0.0229932,0.0,5545.68,96475305213
Iran,1960,Rome,0,1,3,5,21999103,0.0181826,0.0227282,0.0,3660.18,80520608016
Portugal,1960,Rome,0,1,0,2,8882954,0.0112575,0.022515,0.0,4196.15,37274171517
Taiwan,1960,Rome,0,1,0,2,11209000,0.0089214,0.0178428,0.0,1983.67,22234914885
Morocco,1960,Rome,0,1,0,2,11625999,0.0086014,0.0172028,0.0,1536.62,17864722792
France,1960,Rome,0,2,3,7,45688594,0.0109437,0.0153211,0.0,10244.42,468053179115
Argentina,1960,Rome,0,1,1,3,20625451,0.0096968,0.0145451,0.0,6984.76,144063736855
Iraq,1960,Rome,0,0,1,1,7379922,0.0135503,0.0135503,0.0,7086.01,52294180540
Ethiopia,1960,Rome,1,0,0,3,22553350,0.0044339,0.0133018,0.0044339,399.45,9008849911
Venezuela,1960,Rome,0,0,1,1,7562108,0.0132238,0.0132238,0.0,8714.11,65897043730
Canada,1960,Rome,0,1,0,2,17909009,0.0055838,0.0111676,0.0,12701.48,227470975549
Egypt,1960,Rome,0,1,1,3,27903093,0.0071677,0.0107515,0.0,1562.96,43611396921
Pakistan,1960,Rome,1,0,1,4,45920204,0.0043554,0.0087108,0.0021777,744.18,34172887961
Spain,1960,Rome,0,0,1,1,30413044,0.0032881,0.0032881,0.0,4603.07,139993296538
Brazil,1960,Rome,0,0,2,2,72758801,0.0027488,0.0027488,0.0,3044.13,221487135615
Mexico,1960,Rome,0,0,1,1,38418829,0.0026029,0.0026029,0.0,4433.09,170313949301
India,1960,Rome,0,1,0,2,447844159,0.0002233,0.0004466,0.0,696.1,311743997163
Bahamas,1964,Tokyo,1,0,0,3,133709,0.7478928,2.2436784,0.7478928,16708.02,2234012672
Hungary,1964,Tokyo,10,7,5,49,10107595,0.2176581,0.484784,0.0989355,8362.48,84524534744
Trinidad and Tobago,1964,Tokyo,0,1,2,4,883421,0.3395889,0.4527853,0.0,5217.56,4609302615
New Zealand,1964,Tokyo,3,0,2,11,2581577,0.1936801,0.4260961,0.116208,14107.05,36418447927
Australia,1964,Tokyo,6,2,10,32,11122567,0.1618331,0.2877034,0.0539444,13329.9,148262675404
Bulgaria,1964,Tokyo,3,5,2,21,8140705,0.1228395,0.2579629,0.0368518,4721.86,38439301126
Finland,1964,Tokyo,3,0,2,11,4545748,0.1099929,0.2419844,0.0659957,10042.22,45649398290
Denmark,1964,Tokyo,2,1,3,11,4722383,0.1270545,0.2329332,0.0423515,13937.78,65819536163
Sweden,1964,Tokyo,2,2,4,14,7676568,0.1042132,0.1823732,0.0260533,14703.36,112871357425
Netherlands,1964,Tokyo,2,4,4,18,12055386,0.0829505,0.1493109,0.0165901,12287.88,148135111757
Poland,1964,Tokyo,7,6,10,43,30740557,0.0748197,0.1398804,0.0227712,5788.41,177938801301
Switzerland,1964,Tokyo,1,2,1,8,5729362,0.0698158,0.1396316,0.017454,21712.09,124396449370
United Team of Germany,1964,Tokyo,10,22,18,92,75363329,0.0663453,0.1220753,0.0132691,13844.37,1043357750688
Italy,1964,Tokyo,10,10,7,57,51054762,0.0528844,0.1116448,0.0195868,8821.6,450384527176
Romania,1964,Tokyo,2,4,6,20,18870340,0.0635919,0.1059864,0.0105986,5326.92,100520714773
United States,1964,Tokyo,36,26,28,188,197094531,0.0456634,0.0953857,0.0182653,20243.98,3989977497746
Belgium,1964,Tokyo,2,0,1,7,9384939,0.0319661,0.0745876,0.0213107,12089.41,113458369956
Britain,1964,Tokyo,4,12,2,38,54006245,0.0333295,0.0703622,0.0074066,13465.99,727247754563
Japan,1964,Tokyo,16,5,8,66,96253698,0.0301287,0.0685688,0.0166227,7803.68,751133149780
Tunisia,1964,Tokyo,0,1,1,3,4541457,0.0440387,0.0660581,0.0,1912.76,8686732671
France,1964,Tokyo,1,8,6,25,48194218,0.0311241,0.0518734,0.0020749,12197.97,587871404831
Turkey,1964,Tokyo,2,3,1,13,31109820,0.0192865,0.0417874,0.0064288,2919.57,90827376604
Canada,1964,Tokyo,1,2,1,8,19309343,0.0207154,0.0414307,0.0051788,14510.9,280195932444
Uruguay,1964,Tokyo,0,0,1,1,2664775,0.0375266,0.0375266,0.0,5603.15,14931126890
Ireland,1964,Tokyo,0,0,1,1,2860976,0.0349531,0.0349531,0.0,7131.74,20403738180
Cuba,1964,Tokyo,0,1,0,2,7777606,0.0128574,0.0257149,0.0,5087.17,39566000828
South Korea,1964,Tokyo,0,2,1,5,27772698,0.010802,0.0180033,0.0,1321.71,36707315242
Ghana,1964,Tokyo,0,0,1,1,7610752,0.0131393,0.0131393,0.0,1189.01,9049257545
Ethiopia,1964,Tokyo,1,0,0,3,24846785,0.0040247,0.012074,0.0040247,478.77,11895880722
Kenya,1964,Tokyo,0,0,1,1,9200107,0.0108694,0.0108694,0.0,970.14,8925393595
Argentina,1964,Tokyo,0,1,0,2,21966478,0.0045524,0.0091048,0.0,7452.89,163713644304
Iran,1964,Tokyo,0,0,2,2,24408927,0.0081937,0.0081937,0.0,4320.58,105460787473
Philippines,1964,Tokyo,0,1,0,2,29664173,0.0033711,0.0067421,0.0,1717.62,50951833965
Pakistan,1964,Tokyo,0,1,0,2,50678979,0.0019732,0.0039464,0.0,870.84,44133471685
Mexico,1964,Tokyo,0,0,1,1,43574687,0.0022949,0.0022949,0.0,5213.6,227181051077
Nigeria,1964,Tokyo,0,0,1,1,50079946,0.0019968,0.0019968,0.0,1251.08,62654207672
Brazil,1964,Tokyo,0,0,1,1,82021855,0.0012192,0.0012192,0.0,3277.01,268786060284
India,1964,Tokyo,1,0,0,3,486038945,0.0002057,0.0006172,0.0002057,754.73,366829358157
Hungary,1968,Mexico City,10,10,12,62,10241753,0.3124465,0.6053651,0.0976395,9403.18,96305087933
Mongolia,1968,Mexico City,0,1,3,5,1209647,0.330675,0.4133437,0.0,1262.52,1527202196
Denmark,1968,Mexico City,1,4,3,14,4863983,0.1644743,0.28783,0.0205593,15706.49,76396111371
Australia,1968,Mexico City,5,7,5,34,12175746,0.1396218,0.2792437,0.0410652,15088.56,183714454104
Bulgaria,1968,Mexico City,2,4,3,17,8381450,0.10738,0.2028289,0.0238622,5639.35,47265902830
New Zealand,1968,Mexico City,1,0,2,5,2738299,0.1095571,0.1825951,0.036519,14279.12,39100507932
Kenya,1968,Mexico City,3,4,2,19,10502123,0.085697,0.1809158,0.0285657,1096.54,11516010643
Finland,1968,Mexico City,1,2,1,8,4588404,0.0871763,0.1743526,0.0217941,11122.84,51036096544
Romania,1968,Mexico City,4,6,5,29,19744551,0.0759703,0.146876,0.0202588,6461.5,127579413940
Norway,1968,Mexico City,1,1,0,5,3816102,0.0524095,0.1310238,0.0262048,15456.44,58983361372
Netherlands,1968,Mexico City,3,3,1,16,12670558,0.0552462,0.126277,0.0236769,14442.49,182994356922
Sweden,1968,Mexico City,2,1,1,9,7929066,0.0504473,0.1135064,0.0252237,16732.0,132669097295
Jamaica,1968,Mexico City,0,1,0,2,1824153,0.05482,0.1096399,0.0,6328.34,11543859643
United States,1968,Mexico City,45,28,34,225,205672498,0.0520245,0.1093972,0.0218794,23268.21,4785631736382
Switzerland,1968,Mexico City,0,1,4,6,6056165,0.0825605,0.0990726,0.0,23522.13,142453905780
Cuba,1968,Mexico City,0,4,0,8,8401476,0.0476107,0.0952214,0.0,5265.77,44240202081
Poland,1968,Mexico City,5,2,11,30,32008949,0.0562343,0.0937238,0.0156206,6900.04,220862961133
Tunisia,1968,Mexico City,1,0,1,4,4923201,0.040624,0.081248,0.020312,2088.68,10283013868
Austria,1968,Mexico City,0,2,2,6,7394601,0.0540935,0.0811403,0.0,13335.56,98611123354
France,1968,Mexico City,7,3,5,32,50026522,0.0299841,0.0639661,0.0139926,14146.15,707682614030
Japan,1968,Mexico City,11,7,7,54,100990902,0.0247547,0.0534702,0.0108921,10992.0,1110091590036
Britain,1968,Mexico City,5,5,3,28,55212835,0.0235452,0.0507128,0.0090559,14651.01,808923651966
Italy,1968,Mexico City,3,4,9,26,52584254,0.0304274,0.0494445,0.0057051,10694.07,562339946366
Canada,1968,Mexico City,1,3,1,10,20931716,0.0238872,0.0477744,0.0047774,16658.21,348684989493
Iran,1968,Mexico City,2,1,2,10,27173692,0.0184001,0.0368003,0.0073601,6118.78,166269969053
Mexico,1968,Mexico City,3,3,3,18,48943844,0.0183884,0.0367768,0.0061295,6036.64,295456395202
Uganda,1968,Mexico City,0,1,1,3,8866641,0.0225565,0.0338347,0.0,904.6,8020731009
Belgium,1968,Mexico City,0,1,1,3,9555402,0.0209306,0.0313959,0.0,13647.2,130404444848
Cameroon,1968,Mexico City,0,1,0,2,6503500,0.0153763,0.0307527,0.0,1575.87,10248681934
Venezuela,1968,Mexico City,1,0,0,3,10003238,0.0099968,0.0299903,0.0099968,9904.46,99076655306
Ethiopia,1968,Mexico City,1,1,0,5,27476546,0.0072789,0.0181973,0.0036395,514.0,14122950502
Turkey,1968,Mexico City,2,0,0,6,33982141,0.0058854,0.0176563,0.0058854,3363.34,114293451424
Greece,1968,Mexico City,0,0,1,1,8697173,0.011498,0.011498,0.0,8581.63,74635931977
South Korea,1968,Mexico City,0,1,1,3,30208614,0.0066206,0.0099309,0.0,1767.77,53401919698
Argentina,1968,Mexico City,0,0,2,2,23273148,0.0085936,0.0085936,0.0,8284.39,192803863150
Taiwan,1968,Mexico City,0,0,1,1,13962000,0.0071623,0.0071623,0.0,3243.56,45286560624
Pakistan,1968,Mexico City,1,0,0,3,56257610,0.0017775,0.0053326,0.0017775,981.75,55231178307
Brazil,1968,Mexico City,0,1,2,4,91394916,0.0032825,0.0043766,0.0,3666.98,335143171123
India,1968,Mexico City,0,0,1,1,529658233,0.0001888,0.0001888,0.0,739.12,391479993790
Hungary,1972,Munich,6,13,16,60,10393745,0.336741,0.5772703,0.057727,10168.66,105690418645
Bulgaria,1972,Munich,6,10,5,43,8590839,0.2444464,0.5005332,0.0698418,6597.49,56678012181
Sweden,1972,Munich,4,6,6,30,8117863,0.1970962,0.3695554,0.0492741,18723.04,151991112358
Finland,1972,Munich,3,1,4,15,4644371,0.1722515,0.3229716,0.0645943,14358.88,66687946817
Australia,1972,Munich,8,7,2,40,13236895,0.1284289,0.3021857,0.0604371,16788.63,222229325673
Norway,1972,Munich,2,1,1,9,3934529,0.101664,0.228744,0.050832,17809.8,70073167412
New Zealand,1972,Munich,1,1,1,6,2930577,0.1023689,0.2047378,0.034123,16046.04,47024147806
Cuba,1972,Munich,3,1,4,15,9010586,0.0887845,0.1664709,0.0332942,5305.45,47805170749
Mongolia,1972,Munich,0,1,0,2,1359478,0.0735576,0.1471153,0.0,1421.74,1932826936
Romania,1972,Munich,3,6,7,28,20674980,0.0773882,0.1354294,0.0145103,8011.41,165635832526
Kenya,1972,Munich,2,3,4,16,12082989,0.0744849,0.1324176,0.0165522,1222.36,14769762047
Poland,1972,Munich,7,5,9,40,33084382,0.0634741,0.120903,0.021158,8006.51,264890335852
Switzerland,1972,Munich,0,3,0,6,6269871,0.0478479,0.0956957,0.0,27195.11,170509850606
Netherlands,1972,Munich,3,1,1,12,13231426,0.0377888,0.0906932,0.0226733,16935.57,224081777403
United States,1972,Munich,33,31,30,191,213250350,0.0440796,0.0895661,0.0154748,24654.04,5257481618056
Lebanon,1972,Munich,0,1,0,2,2597588,0.0384973,0.0769945,0.0,7486.38,19446542126
Denmark,1972,Munich,1,0,0,3,4987806,0.0200489,0.0601467,0.0200489,18059.78,90078666939
Japan,1972,Munich,13,8,8,63,106619818,0.0271994,0.0590885,0.0121929,14778.79,1575711512416
Italy,1972,Munich,5,3,10,31,54074032,0.0332877,0.0573288,0.0092466,12269.27,663449103123
Britain,1972,Munich,4,5,9,31,55964697,0.0321631,0.0553921,0.0071474,15895.12,889565373800
North Korea,1972,Munich,1,1,3,8,15034521,0.0332568,0.0532109,0.0066514,3002.05,45134400910
Austria,1972,Munich,0,1,2,4,7526469,0.0398593,0.0531458,0.0,16661.63,125403208571
Jamaica,1972,Munich,0,0,1,1,1924871,0.0519515,0.0519515,0.0,7433.89,14309277917
Uganda,1972,Munich,1,1,0,5,10012125,0.0199758,0.0499394,0.0099879,950.74,9518886363
Greece,1972,Munich,0,2,0,4,8870711,0.0225461,0.0450922,0.0,12129.8,107599977370
Belgium,1972,Munich,0,2,0,4,9696539,0.0206259,0.0412518,0.0,16672.14,161662090262
France,1972,Munich,2,4,7,21,51572812,0.0252071,0.0407191,0.003878,16840.55,868514733704
Tunisia,1972,Munich,0,1,0,2,5326668,0.0187735,0.0375469,0.0,2753.29,14665840399
Canada,1972,Munich,0,2,3,7,22344104,0.0223773,0.0313282,0.0,18970.57,423880408231
Niger,1972,Munich,0,0,1,1,4640560,0.0215491,0.0215491,0.0,954.21,4428065214
Colombia,1972,Munich,0,1,2,4,22381887,0.0134037,0.0178716,0.0,3264.66,73069252141
Iran,1972,Munich,0,2,1,5,30197689,0.0099345,0.0165576,0.0,8985.0,271326270148
Ghana,1972,Munich,0,0,1,1,9167822,0.0109077,0.0109077,0.0,1178.22,10801745229
Argentina,1972,Munich,0,1,0,2,24791983,0.0040336,0.0080671,0.0,9443.04,234111650596
Ethiopia,1972,Munich,0,0,2,2,30642920,0.0065268,0.0065268,0.0,566.24,17351367884
South Korea,1972,Munich,0,1,0,2,32766592,0.0030519,0.0061038,0.0,2458.07,80542593906
Turkey,1972,Munich,0,1,0,2,37054168,0.0026988,0.0053975,0.0,3879.15,143738691032
Mexico,1972,Munich,0,1,0,2,55081201,0.0018155,0.003631,0.0,6809.41,375070298556
Pakistan,1972,Munich,0,1,0,2,62751275,0.0015936,0.0031872,0.0,1049.94,65885009740
Spain,1972,Munich,0,0,1,1,34553119,0.0028941,0.0028941,0.0,10638.75,367602039873
Brazil,1972,Munich,0,0,2,2,100828667,0.0019836,0.0019836,0.0,4985.71,502702641259
Nigeria,1972,Munich,0,0,1,1,60191508,0.0016614,0.0016614,0.0,1698.39,102228585349
India,1972,Munich,0,0,1,1,579871075,0.0001725,0.0001725,0.0,757.85,439457873231
Bermuda,1976,Montreal,0,0,1,1,54682,1.8287553,1.8287553,0.0,44362.8,2425846624
Bulgaria,1976,Montreal,6,9,7,43,8754869,0.2512887,0.4911553,0.0685333,7722.87,67612725110
Finland,1976,Montreal,4,2,0,16,4726845,0.1269346,0.3384922,0.084623,15610.75,73789587783
Hungary,1976,Montreal,4,5,13,35,10566645,0.2082023,0.331231,0.037855,11035.57,116608899457
Cuba,1976,Montreal,6,4,3,29,9525242,0.1364795,0.3044542,0.0629905,6173.86,58807507913
Trinidad and Tobago,1976,Montreal,1,0,0,3,1019403,0.0980966,0.2942899,0.0980966,7555.17,7701762946
New Zealand,1976,Montreal,2,1,1,9,3109010,0.1286583,0.2894812,0.0643292,17126.42,53246202705
Jamaica,1976,Montreal,1,1,0,5,2036770,0.0981947,0.2454867,0.0490973,6867.75,13988019352
Romania,1976,Montreal,4,9,14,44,21447200,0.1258906,0.205155,0.0186505,9239.34,198158071128
Sweden,1976,Montreal,4,1,0,14,8218933,0.0608351,0.1703384,0.0486681,20036.18,164675984510
Poland,1976,Montreal,7,6,13,46,34279654,0.0758467,0.1341904,0.0204203,9421.88,322978777188
Mongolia,1976,Montreal,0,1,0,2,1523908,0.0656208,0.1312415,0.0,1597.77,2434854816
Switzerland,1976,Montreal,1,1,2,7,6355012,0.0629424,0.1101493,0.0157356,26270.87,166951685590
Denmark,1976,Montreal,1,0,2,5,5079015,0.0590666,0.0984443,0.0196889,19400.16,98533728409
Belgium,1976,Montreal,0,3,3,9,9808403,0.061172,0.0917581,0.0,19019.94,186555281916
United States,1976,Montreal,34,35,25,197,221161377,0.0425029,0.0890752,0.0153734,25881.72,5724036885249
Canada,1976,Montreal,0,5,6,16,23416090,0.0469762,0.0683291,0.0,21626.09,506398364638
Netherlands,1976,Montreal,0,2,3,7,13710713,0.0364678,0.051055,0.0,18992.14,260395808439
Japan,1976,Montreal,9,6,10,49,111996339,0.0223222,0.0437514,0.008036,16066.67,1799408028842
Italy,1976,Montreal,2,7,4,24,55377233,0.0234754,0.0433391,0.0036116,14021.93,776495647272
Portugal,1976,Montreal,0,2,0,4,9333952,0.0214272,0.0428543,0.0,9673.53,90292267115
Australia,1976,Montreal,0,1,4,6,14067994,0.0355417,0.04265,0.0,18351.07,258162713573
Britain,1976,Montreal,3,5,5,24,56273041,0.0231016,0.0426492,0.0053311,17050.63,959491021707
Puerto Rico,1976,Montreal,0,0,1,1,2990868,0.0334351,0.0334351,0.0,9336.84,27925258379
North Korea,1976,Montreal,1,1,0,5,16341363,0.0122389,0.0305972,0.0061194,3372.76,55115522119
France,1976,Montreal,2,3,4,16,52974009,0.0169895,0.0302035,0.0037754,18509.58,980526517224
South Korea,1976,Montreal,1,1,4,9,35299344,0.0169975,0.0254962,0.0028329,3568.13,125952724890
Venezuela,1976,Montreal,0,1,0,2,13135849,0.0076128,0.0152255,0.0,12688.92,166679781909
Norway,1976,Montreal,1,1,0,5,35299344,0.0056658,0.0141646,0.0028329,21245.52,749952976632
Austria,1976,Montreal,0,0,1,1,7580564,0.0131916,0.0131916,0.0,18874.3,143077804425
Spain,1976,Montreal,0,2,0,4,36124485,0.0055364,0.0110728,0.0,12886.57,465520529454
Iran,1976,Montreal,0,1,1,3,33788867,0.0059191,0.0088787,0.0,11710.25,395675987038
Mexico,1976,Montreal,1,0,1,4,61969362,0.0032274,0.0064548,0.0016137,7630.74,472871985991
Thailand,1976,Montreal,0,0,1,1,43453204,0.0023013,0.0023013,0.0,1823.5,79236703353
Brazil,1976,Montreal,0,0,2,2,110804816,0.001805,0.001805,0.0,6500.65,720303315923
Pakistan,1976,Montreal,0,0,1,1,70632133,0.0014158,0.0014158,0.0,1156.11,81658863642
Bulgaria,1980,Moscow,8,16,17,73,8861536,0.4626737,0.823785,0.0902778,7802.85,69145198943
Hungary,1980,Moscow,7,10,15,56,10698534,0.2991064,0.5234362,0.0654295,12018.55,128580916619
Cuba,1980,Moscow,8,7,5,43,9812223,0.2038274,0.4382289,0.081531,6695.01,65692958052
Mongolia,1980,Moscow,0,2,2,6,1693122,0.23625,0.3543749,0.0,1800.0,3047617768
Finland,1980,Moscow,3,1,4,15,4779488,0.1673819,0.3138411,0.0627682,17796.77,85059461743
Sweden,1980,Moscow,3,3,6,21,8310467,0.1443962,0.2526934,0.0360991,21179.39,176010626367
Denmark,1980,Moscow,2,1,2,10,5123026,0.0975986,0.1951971,0.0390394,20529.08,105171000583
Romania,1980,Moscow,6,6,13,43,22201389,0.1126056,0.1936816,0.0270253,9755.08,216576358937
Poland,1980,Moscow,3,14,15,52,35577214,0.0899452,0.146161,0.0084324,9173.32,326361227328
Jamaica,1980,Moscow,0,0,3,3,2132390,0.1406872,0.1406872,0.0,6015.19,12826732843
Guyana,1980,Moscow,0,0,1,1,776856,0.128724,0.128724,0.0,2653.79,2061609980
Austria,1980,Moscow,1,2,1,8,7548798,0.0529886,0.1059771,0.0132471,21284.71,160673963676
Australia,1980,Moscow,2,2,5,15,14709918,0.0611832,0.101972,0.0135963,19505.55,286925107462
Switzerland,1980,Moscow,2,0,0,6,6303346,0.0317292,0.0951875,0.0317292,28732.37,181110044830
Ireland,1980,Moscow,0,1,1,3,3417798,0.0585172,0.0877758,0.0,12217.02,41755317617
Britain,1980,Moscow,5,7,9,38,56303011,0.0372982,0.0674919,0.0088805,18199.83,1024705481841
Italy,1980,Moscow,8,3,4,34,56221171,0.0266803,0.0604754,0.0142295,16201.88,910888833454
France,1980,Moscow,6,5,3,31,53880143,0.0259836,0.0575351,0.0111358,20334.47,1095624073466
Greece,1980,Moscow,1,0,2,5,9642504,0.0311123,0.0518538,0.0103708,14877.19,143453379160
North Korea,1980,Moscow,0,3,2,8,17239340,0.0290034,0.0464055,0.0,3372.76,58144184490
Zimbabwe,1980,Moscow,1,0,0,3,7289463,0.0137184,0.0411553,0.0137184,727.55,5303415564
Lebanon,1980,Moscow,0,0,1,1,2794638,0.0357828,0.0357828,0.0,8532.76,23845974156
Belgium,1980,Moscow,1,0,0,3,9847297,0.0101551,0.0304652,0.0101551,20969.62,206494106725
Spain,1980,Moscow,1,3,2,11,37495321,0.016002,0.029337,0.002667,13790.56,517081494537
Netherlands,1980,Moscow,0,1,2,4,14088274,0.0212943,0.0283924,0.0,20372.21,287009256167
Ethiopia,1980,Moscow,2,0,2,8,35426282,0.0112911,0.0225821,0.0056455,588.38,20844082382
Tanzania,1980,Moscow,0,2,0,4,18685789,0.0107033,0.0214066,0.0,925.32,17290343776
Uganda,1980,Moscow,0,1,0,2,12662131,0.0078976,0.0157951,0.0,638.77,8088167935
Venezuela,1980,Moscow,0,1,0,2,15036273,0.0066506,0.0133012,0.0,12124.54,182307839028
Mexico,1980,Moscow,0,1,3,5,68776411,0.0058159,0.0072699,0.0,9319.56,640966180041
Brazil,1980,Moscow,2,0,2,8,121711864,0.0032865,0.0065729,0.0016432,7623.18,927831953628
India,1980,Moscow,1,0,0,3,700058589,0.0001428,0.0004285,0.0001428,843.57,590551326762
New Zealand,1984,Los Angeles,8,1,2,28,3243586,0.3391308,0.8632421,0.2466406,18612.88,60372470140
Romania,1984,Los Angeles,20,16,17,109,22622239,0.2342827,0.4818268,0.0884086,9855.45,222952252028
Finland,1984,Los Angeles,4,2,6,22,4879235,0.2459402,0.4508904,0.0819801,19387.97,94598466563
Iceland,1984,Los Angeles,0,0,1,1,238641,0.4190395,0.4190395,0.0,23215.83,5540249996
Sweden,1984,Los Angeles,2,11,6,34,8333446,0.2279969,0.4079945,0.0239997,22838.69,190324960978
Canada,1984,Los Angeles,10,18,16,82,25538860,0.1722865,0.3210793,0.039156,24431.85,623961567935
Australia,1984,Los Angeles,4,8,12,40,15567927,0.1541631,0.2569385,0.0256939,20295.25,315955016143
Switzerland,1984,Los Angeles,0,4,4,12,6415987,0.1246885,0.1870328,0.0,29128.19,186886081679
Jamaica,1984,Los Angeles,0,1,2,4,2270069,0.1321546,0.1762061,0.0,6116.87,13885709689
Denmark,1984,Los Angeles,0,3,3,9,5115476,0.1172911,0.1759367,0.0,22601.41,115616970461
Netherlands,1984,Los Angeles,5,2,6,25,14378740,0.0904113,0.1738678,0.0347736,20861.01,299955081802
United States,1984,Los Angeles,83,61,30,401,238794274,0.0728661,0.167927,0.034758,29785.25,7112548150641
Italy,1984,Los Angeles,14,6,12,66,56709575,0.0564279,0.1163825,0.0246872,17530.69,994158199846
Britain,1984,Los Angeles,5,11,21,58,56436762,0.0655601,0.1027699,0.0088595,19309.67,1089774996016
Norway,1984,Los Angeles,0,1,2,4,4138150,0.0724962,0.0966616,0.0,27548.87,114001347915
South Korea,1984,Los Angeles,6,6,7,37,39920981,0.047594,0.0926831,0.0150297,5803.8,231693378455
Puerto Rico,1984,Los Angeles,0,1,1,3,3347316,0.0597494,0.089624,0.0,10902.91,36495498625
France,1984,Los Angeles,5,7,16,45,54988578,0.0509197,0.0818352,0.0090928,21488.65,1181630078711
Austria,1984,Los Angeles,1,1,1,6,7550960,0.03973,0.0794601,0.0132433,22336.95,168665387244
Belgium,1984,Los Angeles,1,1,2,7,9835279,0.0406699,0.0711724,0.0101675,21498.94,211448053577
Ireland,1984,Los Angeles,0,1,0,2,3523059,0.0283844,0.0567688,0.0,12953.44,45635730635
Japan,1984,Los Angeles,10,8,14,60,119320901,0.0268184,0.0502846,0.0083808,20339.95,2426981475834
Portugal,1984,Los Angeles,1,0,2,5,9955005,0.0301356,0.050226,0.0100452,11482.99,114313185431
Greece,1984,Los Angeles,0,1,1,3,9892518,0.0202173,0.0303259,0.0,15123.24,149606883991
Algeria,1984,Los Angeles,0,2,2,6,21433070,0.0186627,0.0279941,0.0,5986.54,128309974554
Morocco,1984,Los Angeles,2,0,0,6,21747150,0.0091966,0.0275898,0.0091966,2655.21,57743160221
Kenya,1984,Los Angeles,1,0,2,5,18937969,0.0158412,0.026402,0.0052804,1279.51,24231386622
Spain,1984,Los Angeles,1,2,2,9,38339878,0.0130413,0.0234743,0.0026083,14342.73,549898530392
Ivory Coast,1984,Los Angeles,0,1,0,2,10089976,0.0099108,0.0198217,0.0,2250.26,22705118026
Syria,1984,Los Angeles,0,1,0,2,10230958,0.0097743,0.0195485,0.0,3518.22,35994743847
Venezuela,1984,Los Angeles,0,0,3,3,16813481,0.0178428,0.0178428,0.0,9500.52,159736741979
Mexico,1984,Los Angeles,2,3,1,13,74673296,0.008035,0.0174092,0.0026783,9177.23,685294362044
Dominican Republic,1984,Los Angeles,0,0,1,1,6341950,0.015768,0.015768,0.0,2865.09,18170248131
Zambia,1984,Los Angeles,0,0,1,1,6575403,0.0152082,0.0152082,0.0,1279.2,8411247401
Brazil,1984,Los Angeles,1,5,2,15,133380123,0.0059979,0.0112461,0.0007497,6890.25,919022859594
Peru,1984,Los Angeles,0,1,0,2,19020616,0.0052575,0.0105149,0.0,5578.5,106106444398
Cameroon,1984,Los Angeles,0,0,1,1,10218016,0.0097866,0.0097866,0.0,2575.35,26314962038
Colombia,1984,Los Angeles,0,1,0,2,29359535,0.003406,0.0068121,0.0,4470.55,131253273301
China,1984,Los Angeles,15,8,9,70,1040397958,0.0030757,0.0067282,0.0014418,1229.08,1278727499972
Turkey,1984,Los Angeles,0,0,3,3,48360679,0.0062034,0.0062034,0.0,4784.95,231403424224
Taiwan,1984,Los Angeles,0,0,1,1,19083000,0.0052403,0.0052403,0.0,9352.64,178476389993
Egypt,1984,Los Angeles,0,1,0,2,49453054,0.0020221,0.0040442,0.0,3767.06,186292832697
Thailand,1984,Los Angeles,0,1,0,2,51346204,0.0019476,0.0038951,0.0,2581.97,132574597450
Nigeria,1984,Los Angeles,0,1,1,3,83691577,0.0023897,0.0035846,0.0,1358.55,113699409127
Pakistan,1984,Los Angeles,1,0,0,3,92300277,0.0010834,0.0032503,0.0010834,1519.11,140213875342
Netherlands Antilles,1988,Seoul,0,1,0,2,187596,0.5330604,1.0661208,0.0,17486.37,3280372180
Suriname,1988,Seoul,1,0,0,3,393605,0.2540618,0.7621854,0.2540618,5930.97,2334459695
Bulgaria,1988,Seoul,10,12,13,67,8917563,0.3924839,0.7513263,0.1121383,8179.01,72936841780
New Zealand,1988,Seoul,3,2,8,21,3332798,0.3900626,0.6301012,0.0900145,18874.65,62905403497
Hungary,1988,Seoul,11,6,6,51,10429422,0.22053,0.4890012,0.1054708,13399.3,139746986562
Norway,1988,Seoul,2,3,0,12,4202325,0.1189818,0.2855562,0.0475927,30359.21,127579266517
